160	Location ID	Cornell University	Camera	 	 	 	Lat, Lng: 42.440628, -76.496607 	Ithaca, NY US
161	Location ID	Dartmouth College	Camera	 	 	 	Lat, Lng: 43.702293, -72.289535 	Hanover, NH US
162	Location ID	Harvard University	Camera	 	 	 	Lat, Lng: 42.372194, -71.115979 	Cambridge, MA 2138 US
163	Location ID	Princeton University	Camera	 	 	 	Lat, Lng: 40.348718, -74.659047 	Princeton, NJ US
164	Location ID	University of Pennsylvania	Camera	 	 	 	Lat, Lng: 39.952335, -75.163789 	Philadelphia, PA US
165	Location ID	Yale University	Camera	 	 	 	Lat, Lng: 41.308153, -72.928158 	New Haven, CT US
166	Location ID	Ball State University	Camera	 	 	 	Lat, Lng: 40.193377, -85.38636 	Muncie, IN US
167	Location ID	Bowling Green State University	Camera	 	 	 	Lat, Lng: 41.374774, -83.651323 	Bowling Green, OH US
168	Location ID	Central Michigan University	Camera	 	 	 	Lat, Lng: 43.597808, -84.767514 	Mount Pleasant, MI US
169	Location ID	Eastern Michigan University	Camera	 	 	 	Lat, Lng: 42.24115, -83.612994 	Ypsilanti, MI US
170	Location ID	Kent State University	Camera	 	 	 	Lat, Lng: 41.153667, -81.357886 	Kent, OH US
171	Location ID	Miami University	Camera	 	 	 	Lat, Lng: 39.506997, -84.745231 	Oxford, OH US
172	Location ID	Northern Illinois University	Camera	 	 	 	Lat, Lng: 41.929474, -88.750365 	DeKalb, IL US
173	Location ID	Ohio University	Camera	 	 	 	Lat, Lng: 39.32924, -82.101255 	Athens, OH US
174	Location ID	State University of New York at Buffalo	Camera	 	 	 	Lat, Lng: 42.886447, -78.878369 	Buffalo, NY US
175	Location ID	University of Akron	Camera	 	 	 	Lat, Lng: 41.081445, -81.519005 	Akron, OH US
176	Location ID	University of Toledo	Camera	 	 	 	Lat, Lng: 41.663938, -83.555212 	Toledo, OH US
177	Location ID	Western Michigan University	Camera	 	 	 	Lat, Lng: 42.291707, -85.587229 	Kalamazoo, MI US
178	Location ID	Canisius College	Camera	 	 	 	Lat, Lng: 42.886447, -78.878369 	Buffalo, NY US
179	Location ID	Fairfield University	Camera	 	 	 	Lat, Lng: 41.141208, -73.263726 	Fairfield, CT US
180	Location ID	Iona College	Camera	 	 	 	Lat, Lng: 40.911488, -73.782355 	New Rochelle, NY US
181	Location ID	Manhattan College	Camera	 	 	 	Lat, Lng: 40.90056, -73.90639 	Bronx, NY US
182	Location ID	Marist College	Camera	 	 	 	Lat, Lng: 41.700371, -73.92097 	Poughkeepsie, NY US
183	Location ID	Monmouth University	Camera	 	Comments_old	 	Lat, Lng: 40.290389, -74.017638 	West Long Branch, NJ US
184	Location ID	Niagara University	Camera	 	 	 	Lat, Lng: 43.172555, -79.035878 	Lewiston, NY US
185	Location ID	Quinnipiac University	Camera	 	 	 	Lat, Lng: 41.39593, -72.896768 	Hamden, CT US
186	Location ID	Rider University	Camera	 	 	 	Lat, Lng: 40.3014, -74.730154 	Lawrenceville, NJ US
187	Location ID	Saint Peter's College	Camera	 	 	 	Lat, Lng: 40.728158, -74.077642 	Jersey City, NJ US
188	Location ID	Siena College	Camera	 	 	 	Lat, Lng: 42.704801, -73.754842 	Loudonville, NY US
189	Location ID	Bethune-Cookman University	Camera	 	 	 	Lat, Lng: 29.210815, -81.022833 	Daytona Beach, FL US
190	Location ID	Coppin State University	Camera	 	 	 	Lat, Lng: 39.290385, -76.612189 	Baltimore, MD US
191	Location ID	Delaware State University	Camera	 	 	 	Lat, Lng: 39.158168, -75.524368 	Dover, DE US
192	Location ID	Florida A&M University	Camera	 	 	 	Lat, Lng: 30.438256, -84.280733 	Tallahassee, FL US
193	Location ID	Hampton University	Camera	 	 	 	Lat, Lng: 37.029869, -76.345222 	Hampton, VA US
194	Location ID	Howard University	Camera	 	 	 	Lat, Lng: 38.895112, -77.036366 	Washington, DC US
195	Location ID	Morgan State University	Camera	 	 	 	Lat, Lng: 39.290385, -76.612189 	Baltimore, MD US
196	Location ID	Norfolk State University	Camera	 	 	 	Lat, Lng: 36.846815, -76.285218 	Norfolk, VA US
197	Location ID	North Carolina Agricultural and Technical State University	Camera	 	 	 	Lat, Lng: 36.072635, -79.791975 	Greensboro, NC US
198	Location ID	North Carolina Central University	Camera	 	 	 	Lat, Lng: 35.994033, -78.898619 	Durham, NC US
199	Location ID	South Carolina State University	Camera	 	 	 	Lat, Lng: 33.49182, -80.855648 	Orangeburg, SC US
200	Location ID	University of Maryland Eastern Shore	Camera	 	 	 	Lat, Lng: 38.202899, -75.692427 	Princess Anne, MD US
201	Location ID	Bradley University	Camera	 	 	 	Lat, Lng: 40.693649, -89.588986 	Peoria, IL US
202	Location ID	Drake University	Camera	 	 	 	Lat, Lng: 41.600545, -93.609106 	Des Moines, IA US
203	Location ID	Illinois State University	Camera	 	Comments_old	 	Lat, Lng: 40.514203, -88.990631 	Normal, IL US
204	Location ID	Indiana State University	Camera	 	 	 	Lat, Lng: 39.466703, -87.413909 	Terre Haute, IN US
205	Location ID	Loyola University Chicago	Camera	 	 	 	Lat, Lng: 41.850033, -87.650052 	Chicago, IL US
206	Location ID	Missouri State University	Camera	 	 	 	Lat, Lng: 37.215326, -93.298244 	Springfield, MO US
