Name	Population	Land Area	Water Area	Total Area	Lat	Long
Duarte_DO	338,649	2	2	1,605.35	19.3	-70.25
El_Seybo_DO	110,212	2	2	1,786.80	18.77	-69.04
Espaillat_DO	333,401	2	2	838.62	19.383333	-70.516667
Hato_Mayor_DO	103,032	2	2	1,329.29	18.77	-69.26
Hermanas_DO	121,887	2	2	440.43	19.42	-70.39
Independencia_DO	74,583	2	2	2,006.44	18.49	-71.85
La_Altagracia_DO	372,289	2	2	3,010.34	18.62	-68.71
La_Estrelleta_DO	84,632	2	2	1,426.20	18.883333	-71.7
La_Romana_DO	344,580	2	2	653.95	18.43	-68.97
La_Vega_DO	447,905	2	2	2,287.24	19.22	-70.53
María_Trinidad_Sánchez_DO	195,886	2	2	1,271.71	19.38	-69.85
Monseñor_Nouel_DO	203,183	2	2	992.39	18.95	-70.41
Monte_Cristi_DO	150,833	2	2	1,924.35	19.85	-71.65
Monte_Plata_DO	222,641	2	2	2,632.14	18.81	-69.79
Pedernales_DO	52,165	2	2	2,074.53	18.033333	-71.75
Peravia_DO	217,241	2	2	792.33	18.29	-70.33
Puerto_Plata_DO	498,232	2	2	1,852.90	19.8	-70.683333
Samaná_DO	139,707	2	2	853.74	19.2	-69.316667
San_Cristóbal_DO	640,066	2	2	1,265.77	18.42	-70.11
San_José_de_Ocoa_DO	97,640	2	2	855.40	18.55	-70.5
San_Juan_DO	317,293	2	2	3,569.39	18.81	-71.23
San_Pedro_de_Macorís_DO	392,911	2	2	1,255.46	18.46	-69.31
Sánchez_Ramírez_DO	248,807	2	2	1,196.13	19.06	-70.15
Santiago_DO	1,543,362	2	2	2,836.51	19.48	-70.69
Santiago_Rodríguez_DO	99,044	2	2	1,111.14	19.483333	-71.35
Santo_Domingo_DO	3,263,053	2	2	1,296.35	18.493333	-69.866667
Valverde_DO	217,026	2	2	823.38	19.566667	-71.083333
Azuay_EC	2	2	2	2	-2.883333	-79
El_Oro_EC	2	2	2	2	-3.26667	-79.9667
Loja_EC	2	2	2	2	-3.833	-80.067
Zamora_Chinchipe_EC	2	2	2	2	-2.883333	-79
Galápagos_EC	2	2	2	2	-0.560278	-91.040833
Bolivar_EC	2	2	2	2	-1.6	-79
Cañar_EC	2	2	2	2	-2.733333	-78.833333
Cotopaxi_EC	2	2	2	2	-0.933333	-78.616667
Guayas_EC	2	2	2	2	-2.2	-79.9667
Los_Rios_EC	2	2	2	2	-1.76667	-79.45
Manabi_EC	2	2	2	2	-1.05222	-80.4506
Chimborazo_EC	2	2	2	2	-1.666667	-78.65
Morona_Santiago_EC	2	2	2	2	-2.366667	-78.133333
Orellana_EC	2	2	2	2	-0.933333	-75.666667
Pichincha_EC	2	2	2	2	-0.25	-78.583333
Pastaza_EC	2	2	2	2	-1.066667	-78.001111
Napo_EC	2	2	2	2	-0.989	-77.8159
Tungurahua_EC	2	2	2	2	-1.233333	-78.616667
Esmeraldas_EC	2	2	2	2	-0.966667	-79.65
Carchi_EC	2	2	2	2	0.45	-78.05
Imbabura_EC	2	2	2	2	0.35	-78.133333
Sucumbios_EC	2	2	2	2	-0.083333	-76.883333
Santa_Elena_EC	2	2	2	2	-2.2267	-80.8583
Santo_Domingo_de_los_Tsáchilas_EC	2	2	2	2	-0.333333	-79.25
Falkland_Islands_FK	2	2	2	2	-51.683333	-59.166667
Guyane_française_GF	2	2	2	2	4	-53
Guadeloupe_GP	2	2	2	2	16.25	-61.583333
Baja_Verapaz_GT	2	2	2	2	15.101389	-90.318611
Huehuetenango_GT	2	2	2	2	15.314167	-91.475833
Petén_GT	2	2	2	2	16.9	-89.9
Quezaltenango_GT	2	2	2	2	14.845833	-91.518889
Retalhuleu_GT	2	2	2	2	14.5353	-91.6783
San_Marcos_GT	2	2	2	2	14.961111	-91.795556
Alta_Verapaz_GT	2	2	2	2	15.5	-90.333333
Chimaltenango_GT	2	2	2	2	14.563316	-90.982067
Escuintla_GT	2	2	2	2	14.297778	-90.786944
Guatemala_GT	2	2	2	2	14.641389	-90.513056
Suchitepéquez_GT	2	2	2	2	14.534	-91.503
Sacatepéquez_GT	2	2	2	2	14.556667	-90.733889
Sololá_GT	2	2	2	2	14.766667	-91.183333
Totonicapán_GT	2	2	2	2	14.9125	-91.36
El_Progreso_GT	2	2	2	2	14.853889	-90.068611
Santa_Rosa_GT	2	2	2	2	14.278333	-90.3
Izabal_GT	2	2	2	2	15.733333	-88.6
Chiquimula_GT	2	2	2	2	14.799444	-89.543611
Jalapa_GT	2	2	2	2	14.633889	-89.981111
Jutiapa_GT	2	2	2	2	14.282778	-89.8925
Zacapa_GT	2	2	2	2	14.9725	-89.528333
Quiché_GT	2	2	2	2	15.03	-91.15
Mahaica-Berbice_GY	2	2	2	2	6.229522	-57.886845
Potaro-Siparuni_GY	2	2	2	2	4.769702	-59.265391
Upper_Takutu-Upper_Essequibo_GY	2	2	2	2	2.900996	-58.93517
Upper_Demerara-Berbice_GY	2	2	2	2	5.269126	-58.267074
Barima-Waini_GY	2	2	2	2	7.667	-59.75
Pomeroon-Supenaam_GY	2	2	2	2	7.107778	-58.880556
East_Berbice-Corentyne_GY	2	2	2	2	4.107943	-58.18337
Demerara-Mahaica_GY	2	2	2	2	6.75	-57.983333
Essequibo_Islands-West_Demerara_GY	2	2	2	2	6.715056	-58.54902
Cuyuni-Mazaruni_GY	2	2	2	2	6.459522	-60.211075
Atlántida_HN	2	2	2	2	15.643333	-87.131667
Colón_HN	2	2	2	2	15.916667	-86
Francisco_Morazán_HN	2	2	2	2	14.1	-87.216667
Gracias_a_Dios_HN	2	2	2	2	15.266667	-83.766667
Olancho_HN	2	2	2	2	14.6	-86.2
Yoro_HN	2	2	2	2	15.133333	-87.1
Valle_HN	2	2	2	2	13.533333	-87.483333
Comayagua_HN	2	2	2	2	14.45	-87.633333
Cortés_HN	2	2	2	2	15.502778	-88.013611
Intibucá_HN	2	2	2	2	14.316667	-88.15
La_Paz_HN	2	2	2	2	14.333333	-87.683333
Santa_Bárbara_HN	2	2	2	2	14.916667	-88.233333
Copán_HN	2	2	2	2	14.766667	-88.783333
Lempira_HN	2	2	2	2	14.583333	-88.583333
Ocotepeque_HN	2	2	2	2	14.433333	-89.183333
Choluteca_HN	2	2	2	2	13.316667	-87.216667
El_Paraíso_HN	2	2	2	2	13.933333	-86.85
Nippes_HT	2	2	2	2	18.45	-73.1
Nord-Ouest_HT	2	2	2	2	19.95	-72.8333
Sud_HT	2	2	2	2	18.2	-73.75
Centre_HT	2	2	2	2	19.15	-72.0167
Nord-Est_HT	2	2	2	2	19.6678	-71.8397
Nord_HT	2	2	2	2	19.7667	-72.2
Ouest_HT	2	2	2	2	18.534444	-72.409444
Sud-Est_HT	2	2	2	2	18.2333	-72.5333
Clarendon_JM	2	2	2	2	18	-77.283333
Hanover_JM	2	2	2	2	18.417	-78.133
Manchester_JM	2	2	2	2	18.05	-77.533333
Saint_Elizabeth_JM	2	2	2	2	18.05	-77.783333
Saint_James_JM	2	2	2	2	18.383333	-77.883333
Trelawny_JM	2	2	2	2	18.383333	-77.633333
Westmoreland_JM	2	2	2	2	18.233333	-78.15
Portland_JM	2	2	2	2	18.133333	-76.533333
Saint_Ann_JM	2	2	2	2	18.2	-77.467
Saint_Catherine_JM	2	2	2	2	17.995877	-76.955109
Saint_Mary_JM	2	2	2	2	18.316667	-76.9
Saint_Andrew_JM	2	2	2	2	18.016667	-76.9
Saint_Thomas_JM	2	2	2	2	17.9	-76.433333
Cayman_Islands_KY	2	2	2	2	19.5	-80.5
Martinique_MQ	2	2	2	2	14.666667	-61
Baja_California_MX	2	2	2	2	30	-115.166667
Baja_California_Sur_MX	2	2	2	2	25.85	-111.966667
Coahuila_MX	2	2	2	2	27.3	-102.05
Chihuahua_MX	2	2	2	2	28.816667	-106.433333
Durango_MX	2	2	2	2	24.933333	-104.916667
Sinaloa_MX	2	2	2	2	25	-107.5
Sonora_MX	2	2	2	2	29.646111	-110.868889
Zacatecas_MX	2	2	2	2	23.3	-102.7
Nuevo_León_MX	2	2	2	2	25.566667	-99.966667
San_Luis_Potosí_MX	2	2	2	2	22.6	-100.433333
Tamaulipas_MX	2	2	2	2	24.283333	-98.566667
Aguascalientes_MX	2	2	2	2	22.016667	-102.35
Colima_MX	2	2	2	2	19.166667	-103.883333
Jalisco_MX	2	2	2	2	20.566667	-103.683333
Michoacán_MX	2	2	2	2	19.166667	-101.9
Nayarit_MX	2	2	2	2	21.75	-105.233333
Campeche_MX	2	2	2	2	18.833333	-90.4
Oaxaca_MX	2	2	2	2	16.9	-96.416667
Puebla_MX	2	2	2	2	19	-97.883333
Tabasco_MX	2	2	2	2	17.966667	-92.583333
Tlaxcala_MX	2	2	2	2	19.433333	-98.166667
Mexico_City_MX	2	2	2	2	19.433333	-99.133333
Guanajuato_MX	2	2	2	2	21.016667	-101.266667
Guerrero_MX	2	2	2	2	17.616667	-99.95
Hidalgo_MX	2	2	2	2	20.483333	-98.866667
México_MX	2	2	2	2	19.35	-99.633333
Morelos_MX	2	2	2	2	18.75	-99.066667
Querétaro_MX	2	2	2	2	20.583333	-100.383333
Veracruz_MX	2	2	2	2	19.433333	-96.383333
Chiapas_MX	2	2	2	2	16.416667	-92.416667
Quintana_Roo_MX	2	2	2	2	19.6	-87.92
Yucatán_MX	2	2	2	2	20.833333	-89
Rivas_NI	2	2	2	2	11.447778	-85.571389
Rio_San_Juan_NI	2	2	2	2	11.309722	-84.696667
Atlántico_Sur_NI	2	2	2	2	12	-83.75
Carazo_NI	2	2	2	2	11.85	-86.2
Granada_NI	2	2	2	2	11.933333	-85.95
Jinotega_NI	2	2	2	2	13.088611	-85.9992
Atlántico_Norte_NI	2	2	2	2	14.028056	-83.380833
León_NI	2	2	2	2	12.433333	-86.883333
Managua_NI	2	2	2	2	12.133333	-86.25
Masaya_NI	2	2	2	2	11.966667	-86.1
Chinandega_NI	2	2	2	2	12.616667	-87.15
Estelí_NI	2	2	2	2	13.083333	-86.35
Madriz_NI	2	2	2	2	13.483333	-86.583333
Matagalpa_NI	2	2	2	2	12.916667	-85.916667
Nueva_Segovia_NI	2	2	2	2	13.756944	-86.185
Boaco_NI	2	2	2	2	12.466667	-85.666667
Chontales_NI	2	2	2	2	12.083333	-85.4
Chiriquí_PA	2	2	2	2	8.433333	-82.433333
Coclé_PA	2	2	2	2	8.5	-80.5
Colón_PA	2	2	2	2	9.166667	-80.166667
Herrera_PA	2	2	2	2	7.833333	-80.666667
Los_Santos_PA	2	2	2	2	7.933333	-80.416667
Panama_PA	2	2	2	2	9	-79.166667
Veraguas_PA	2	2	2	2	8	-81
Darién_PA	2	2	2	2	8.416667	-78.15
Kuna_Yala_PA	2	2	2	2	9.296111	-78.344167
Bocas_del_Toro_PA	2	2	2	2	9.340556	-82.240556
Ngöbe_Buglé_PA	2	2	2	2	8.769722	-81.733889
Emberá_PA	2	2	2	2	8.534167	-77.541667
Lambayeque_PE	2	2	2	2	-6.433333	-79.866667
Piura_PE	2	2	2	2	-4.99	-80.41
Tumbes_PE	2	2	2	2	-3.88	-80.59
Apurímac_PE	2	2	2	2	-14.166667	-72.755556
Arequipa_PE	2	2	2	2	-15.86	-72.25
Cusco_PE	2	2	2	2	-13.26	-72.11
Madre_de_Dios_PE	2	2	2	2	-11.99	-70.59
Puno_PE	2	2	2	2	-15.07	-70.12
Moquegua_PE	2	2	2	2	-16.8	-70.8
Tacna_PE	2	2	2	2	-17.6	-70.2
Ancash_PE	2	2	2	2	-9.53	-77.53
Cajamarca_PE	2	2	2	2	-6.61	-78.78
Huánuco_PE	2	2	2	2	-8.363056	-76.315556
La_Libertad_PE	2	2	2	2	-8	-78.5
Pasco_PE	2	2	2	2	-10.5	-75.3
San_Martín_PE	2	2	2	2	-7.2	-76.8
Ucayali_PE	2	2	2	2	-9.96	-73.19
Amazonas_PE	2	2	2	2	-6.22	-77.85
Loreto_PE	2	2	2	2	-4	-74.32
Ayacucho_PE	2	2	2	2	-13.163056	-74.224444
Lima_Province_PE	2	2	2	2	-12.035	-77.018611
Huancavelica_PE	2	2	2	2	-13.02	-75.09
Ica_PE	2	2	2	2	-14.07	-75.73
Junín_PE	2	2	2	2	-11.48	-74.98
Lima_PE	2	2	2	2	-12.043333	-77.028333
Puerto_Rico_PR	2	2	2	2	18.2	-66.5
Alto_Paraguay_PY	2	2	2	2	-20.5	-59
Boquerón_PY	2	2	2	2	-21.516667	-60.7
Concepción_PY	2	2	2	2	-23	-57
Cordillera_PY	2	2	2	2	-25.383333	-57.133333
Presidente_Hayes_PY	2	2	2	2	-23.766667	-58.616667
San_Pedro_PY	2	2	2	2	-24.1	-57.0833
Central_PY	2	2	2	2	-25.3	-57.416667
Guairá_PY	2	2	2	2	-25.75	-56.433333
Misiones_PY	2	2	2	2	-26.633333	-57.166667
Ñeembucú_PY	2	2	2	2	-26.866667	-58.3
Paraguarí_PY	2	2	2	2	-25.633333	-57.15
Amambay_PY	2	2	2	2	-22.53	-55.75
Alto_Paraná_PY	2	2	2	2	-25.416667	-54.633333
Caaguazú_PY	2	2	2	2	-25.416667	-56.45
Caazapá_PY	2	2	2	2	-26.2	-56.383333
Canindeyú_PY	2	2	2	2	-24.016667	-54.333333
Itapúa_PY	2	2	2	2	-27.333333	-55.883333
Nickerie_SR	2	2	2	2	5.767222	-56.870278
Brokopondo_SR	2	2	2	2	4.7725	-55.129444
Marowijne_SR	2	2	2	2	5.770556	-54.324722
Para_SR	2	2	2	2	5.433333	-55.216667
Sipaliwini_SR	2	2	2	2	3.776944	-56.027778
Commewijne_SR	2	2	2	2	5.869722	-54.919722
Coronie_SR	2	2	2	2	5.763611	-56.277778
Saramacca_SR	2	2	2	2	5.7825	-55.624722
Wanica_SR	2	2	2	2	5.796667	-55.263889
Ahuachapán_SV	2	2	2	2	13.867	-89.892
Cabañas_SV	2	2	2	2	13.897	-88.709
