Name	Pop	DUMMY	DUMMY	Area	Lat	Long
Southern_Ostrobothnia_FI	191860	2	2	13444.00	62.750000	22.500000
Southern_Savonia_FI	148975	2	2	14257.00	62.000000	27.500000
Tavastia_Proper_FI	173781	2	2	5199.00	60.833333	24.250000
Uusimaa_FI	1638293	2	2	9097.00	60.250000	24.500000
Auvergne-Rhône-Alpes_FR	7874586	2	2	69711.00	45.760000	4.840000
Bourgogne_FR	2821042	2	2	47784.00	47.290600	5.042800
Bretagne_FR	3294302	2	2	27208.00	48.000000	-3.000000
Centre-Val_de_Loire_FR	2582374	2	2	39151.00	47.500000	1.750000
Corsica_FR	326898	2	2	8680.00	42.150000	9.083333
Grand_Est_FR	5560405	2	2	57433.00	48.754400	5.851700
Hauts-de-France_FR	6006853	2	2	31713.00	49.920600	2.703000
Île-de-France_FR	12073914	2	2	12012.00	48.500000	2.500000
Normandy_FR	3334657	2	2	29906.00	48.880000	0.170000
Nouvelle-Aquitaine_FR	5904843	2	2	84061.00	45.192900	0.721700
Occitanie_FR	5791865	2	2	72724.00	43.928900	2.146400
Pays_de_la_Loire_FR	3716068	2	2	32082.00	47.466667	-0.833333
Provence-Alpes-Côte-d_Azur_FR	4989435	2	2	31400.00	44.000000	6.000000
Attiki_GR	3812330	2	2	3808.00	38.000000	23.700000
Ayion_Oros_GR	1811	2	2	335.63	40.157222	24.326389
Central_Macedonia_GR	1874590	2	2	18811.00	40.700000	23.000000
Crete_GR	621340	2	2	8336.00	35.210000	24.910000
Eastern_Macedonia_and_Thrace_GR	606170	2	2	14157.00	41.200000	25.000000
Ionioi_Nisoi_GR	206470	2	2	2307.00	38.700000	20.300000
Ipeiros_GR	336650	2	2	9203.00	39.600000	20.800000
North_Aegean_GR	197810	2	2	3836.00	38.700000	26.000000
Peloponnisos_GR	581980	2	2	15490.00	37.400000	22.300000
South_Aegean_GR	308610	2	2	5286.00	36.800000	26.200000
Stereá_Elláda_GR	546870	2	2	15549.00	38.700000	22.700000
Thessalia_GR	730730	2	2	14037.00	39.600000	22.200000
Western_Greece_GR	680190	2	2	11350.00	38.200000	21.400000
Western_Macedonia_GR	282120	2	2	9451.00	40.400000	21.500000
Bjelovarska-Bilogorska_HR	119764	2	2	2640.00	45.902778	16.847500
Brodsko-Posavska_HR	158575	2	2	2030.00	45.157500	18.020280
Dubrovacko-Neretvanska_HR	122568	2	2	1781.00	42.653610	18.094720
Istarska_HR	208055	2	2	2813.00	45.239170	13.938610
Karlovacka_HR	128899	2	2	3626.00	45.493060	15.555830
Koprivnicko-Križevacka_HR	115584	2	2	1748.00	46.170000	16.909170
Krapinsko-Zagorska_HR	132892	2	2	1229.00	46.125000	15.806940
Licko-Senjska_HR	50927	2	2	5353.00	44.706940	15.174170
Medimurska_HR	113804	2	2	729.00	46.466110	16.413890
Osjecko-Baranjska_HR	305032	2	2	4155.00	45.636940	18.618060
Pozega_Slavonia_HR	78034	2	2	1823.00	45.311110	17.740000
Primorsko-Goranska_HR	296195	2	2	3588.00	45.453890	14.593890
