Name	Pop	DUMMY	DUMMY	Area	Lat	Long
City of Glen Eira_VI	117199	2	2	39	-37.733333	145.05
City of Hobsons Bay_VI	80120	2	2	65	-37.85	144.833333
City of Kingston_VI	127540	2	2	91	-37.983333	145.1
City of Manningham_VI	107079	2	2	113	-37.766667	145.2
City of Maribyrnong_VI	59406	2	2	31	-37.8	144.9
City of Monash_VI	155061	2	2	82	-37.883333	145.166667
City of Moonee Valley_VI	105615	2	2	44	-37.766667	144.916667
City of Moreland_VI	130531	2	2	51	-37.733333	144.95
City of Whitehorse_VI	139549	2	2	64	-37.833333	145.15
Shire of Cardinia_VI	45305	2	2	1281	-38.083333	145.583333
City of Casey_VI	175505	2	2	410	-38.09	145.323
City of Frankston_VI	109808	2	2	131	-38.133333	145.166667
City of Greater Dandenong_VI	123965	2	2	130	-38.016667	145.343889
City of Hume_VI	131182	2	2	503	-37.683333	144.916667
City of Knox_VI	141408	2	2	114	-37.883333	145.216667
City of Maroondah_VI	96132	2	2	61	-37.809	145.23
City of Melton_VI	51685	2	2	527	-37.6827	144.5741
Shire of Mornington Peninsula_VI	124891	2	2	723	-38.433333	145
Shire of Nillumbik_VI	57932	2	2	435	-37.633333	145.233333
City of Whittlesea_VI	113784	2	2	490	-37.55	145.083333
City of Wyndham_VI	84861	2	2	542	-37.9	144.666667
Shire of Yarra Ranges_VI	137113	2	2	2470	-37.733333	145.683333
Colac Otway Shire_VI	20972	2	2	3433	-38.333333	143.583333
Golden Plains Shire_VI	21688	2	2	2704	-38.016667	143.966667
City of Greater Geelong_VI	233429	2	2	1240	-38.15	144.35
Borough of Queenscliffe_VI	2853	2	2	9	-38.266667	144.65
Surf Coast Shire_VI	29397	2	2	1560	-38.3	144
City of Ballarat_VI	101686	2	2	740	-37.55	143.85
Shire of Central Goldfields_VI	12995	2	2	1534	-37.05	143.733333
City of Greater Bendigo_VI	110477	2	2	3048	-36.75	144.283333
Shire of Hepburn_VI	15330	2	2	1470	-37.313889	144.137778
Shire of Loddon_VI	7516	2	2	6694	-36.418333	143.866667
Shire of Macedon Ranges_VI	46100	2	2	1747	-37.35	144.616667
Shire of Mitchell_VI	40918	2	2	2862	-37.1	145.066667
Shire of Moorabool_VI	31818	2	2	2110	-37.6	144.25
Shire of Mount Alexander_VI	18761	2	2	1529	-37.066667	144.216667
Shire of Campaspe_VI	37061	2	2	4517	-36.361111	144.733889
City of Greater Shepparton_VI	63867	2	2	2420	-36.383333	145.4
Shire of Moira_VI	29112	2	2	4078	-36.083333	145.65
Shire of Strathbogie_VI	10274	2	2	3302	-36.75	145.566667
Alpine Shire_VI	12337	2	2	5005	-36.727778	146.961111
Rural City of Benalla_VI	13861	2	2	2351	-36.55	145.966667
Shire of Indigo_VI	15952	2	2	2044	-36.15	146.6
Shire of Mansfield_VI	8534	2	2	3892	-37.05	146.083333
Shire of Murrindindi_VI	13732	2	2	3889	-37.333333	145.5
Shire of Towong_VI	5985	2	2	6673	-36.316667	147.483333
