County	Population	Land Area	Water Area	Total Area	Latitude	Longitude
Shelby__IN	44436	1064.866	4.168	1069.034	39.524135	-85.792174
Spencer__IN	20952	1027.563	12.127	1039.689	38.009789	-87.010645
Starke__IN	23363	800.654	7.955	808.609	41.28322	-86.64757
Steuben__IN	34185	800.149	35.034	835.183	41.643437	-85.002467
Sullivan__IN	21475	1158.092	18.063	1176.155	39.089225	-87.415843
Switzerland__IN	10613	571.436	7.267	578.704	38.825846	-85.029679
Tippecanoe__IN	172780	1294.492	8.903	1303.394	40.38926	-86.893943
Tipton__IN	15936	674.798	0.068	674.866	40.310229	-86.056207
Union__IN	7516	417.568	10.239	427.807	39.623111	-84.925152
Vanderburgh__IN	179703	604.698	7.393	612.091	38.02007	-87.586166
Vermillion__IN	16212	665.312	7.905	673.217	39.854045	-87.462071
Vigo__IN	107848	1044.575	18.487	1063.062	39.429143	-87.390375
Wabash__IN	32888	1068.2	22.122	1090.322	40.843717	-85.795175
Warren__IN	8508	944.521	4.466	948.987	40.352658	-87.375847
Warrick__IN	59689	996.667	16.156	1012.823	38.097764	-87.272023
Washington__IN	28262	1330.542	7.444	1337.987	38.600613	-86.104751
Wayne__IN	68917	1040.503	6.737	1047.239	39.863091	-85.006735
Wells__IN	27636	953.341	5.596	958.938	40.735273	-85.212974
White__IN	24643	1308.267	9.206	1317.473	40.75095	-86.864293
Whitley__IN	33292	869.121	6.073	875.194	41.136426	-85.501892
Adair__IA	7682	1474.404	2.598	1477.002	41.328528	-94.478164
Adams__IA	4029	1096.701	5.353	1102.054	41.021656	-94.696906
Allamakee__IA	14330	1655.214	50.995	1706.21	43.274964	-91.382751
Appanoose__IA	12887	1287.981	49.084	1337.065	40.744683	-92.870345
Audubon__IA	6119	1147.264	1.152	1148.417	41.679178	-94.904312
Benton__IA	26076	1855.117	5.761	1860.878	42.092547	-92.05763
Black_Hawk__IA	131090	1465.334	17.9	1483.234	42.472888	-92.306059
Boone__IA	26306	1480.357	5.365	1485.722	42.038601	-93.939138
Bremer__IA	24276	1127.88	10.172	1138.052	42.78089	-92.327586
Buchanan__IA	20958	1478.935	5.428	1484.363	42.470328	-91.838666
Buena_Vista__IA	20260	1489.023	13.758	1502.781	42.741522	-95.141433
Butler__IA	14867	1502.533	4.21	1506.743	42.734708	-92.780066
Calhoun__IA	9670	1476.209	5.561	1481.77	42.38617	-94.643683
Carroll__IA	20816	1474.835	2.145	1476.98	42.039492	-94.867647
Cass__IA	13956	1461.451	1.759	1463.21	41.333824	-94.933302
Cedar__IA	18499	1500.731	6.386	1507.117	41.772355	-91.13219
Cerro_Gordo__IA	44151	1471.923	17.627	1489.55	43.075171	-93.251266
Cherokee__IA	12072	1494.18	0.423	1494.604	42.742738	-95.633262
Chickasaw__IA	12439	1306.339	3.309	1309.648	43.059741	-92.31721
Clarke__IA	9286	1116.716	1.525	1118.241	41.029191	-93.784096
Clay__IA	16667	1469.139	13.867	1483.006	43.079822	-95.149726
Clayton__IA	18129	2016.406	36.586	2052.992	42.840998	-91.323511
Clinton__IA	49116	1799.821	39.524	1839.345	41.898073	-90.534243
Crawford__IA	17096	1849.743	2.194	1851.937	42.043119	-95.38909
Dallas__IA	66135	1524.071	8.421	1532.492	41.685321	-94.040707
Davis__IA	8753	1300.662	6.904	1307.566	40.748089	-92.410345
Decatur__IA	8457	1377.566	4.142	1381.708	40.736379	-93.78458
Delaware__IA	17764	1496.381	3.082	1499.464	42.473003	-91.359443
Des_Moines__IA	40325	1077.755	35.294	1113.049	40.915339	-91.186925
Dickinson__IA	16667	985.764	60.491	1046.255	43.389611	-95.196057
Dubuque__IA	93653	1575.502	21.569	1597.071	42.463481	-90.878771
Emmet__IA	10302	1025.333	17.196	1042.53	43.377984	-94.66937
Fayette__IA	20880	1892.791	1.334	1894.125	42.86445	-91.839373
Floyd__IA	16303	1296.631	1.943	1298.574	43.052741	-92.787367
Franklin__IA	10680	1507.301	1.429	1508.73	42.736549	-93.271425
Fremont__IA	7441	1323.873	14.214	1338.087	40.743726	-95.599516
Greene__IA	9336	1475.189	4.25	1479.439	42.042494	-94.388703
Grundy__IA	12453	1299.806	0.094	1299.9	42.403323	-92.790261
Guthrie__IA	10954	1529.699	6.356	1536.055	41.683573	-94.501272
Hamilton__IA	15673	1493.778	1.965	1495.743	42.390768	-93.709198
Hancock__IA	11341	1478.895	5.266	1484.161	43.075411	-93.743697
Hardin__IA	17534	1474.499	1.774	1476.273	42.389955	-93.241081
Harrison__IA	14928	1804.828	12.418	1817.246	41.688584	-95.827149
Henry__IA	20145	1124.904	5.78	1130.685	40.985864	-91.54427
Howard__IA	9566	1225.706	0.928	1226.634	43.365313	-92.321908
Humboldt__IA	9815	1124.967	3.406	1128.373	42.782221	-94.202775
Ida__IA	7089	1117.6	1.406	1119.006	42.39186	-95.507421
Iowa__IA	16355	1518.916	2.687	1521.603	41.683918	-92.059123
Jackson__IA	19848	1647.333	35.142	1682.474	42.164281	-90.574597
Jasper__IA	36842	1891.779	6.566	1898.345	41.685686	-93.052971
Jefferson__IA	16843	1127.965	3.538	1131.503	41.00688	-91.967137
Johnson__IA	130882	1590.356	23.595	1613.951	41.668737	-91.588812
Jones__IA	20638	1490.851	3.583	1494.434	42.125118	-91.116914
Keokuk__IA	10511	1500.067	1.929	1501.997	41.331182	-92.167721
Kossuth__IA	15543	2519.333	4.155	2523.488	43.212478	-94.213983
Lee__IA	35862	1340.366	55.294	1395.66	40.647588	-91.477157
Linn__IA	211226	1856.711	19.749	1876.459	42.077951	-91.597674
Louisa__IA	11387	1040.57	40.798	1081.368	41.218211	-91.256994
Lucas__IA	8898	1115.232	9.853	1125.084	41.033344	-93.331467
Lyon__IA	11581	1522.007	0.334	1522.342	43.38358	-96.207201
Madison__IA	15679	1452.999	2.984	1455.983	41.330622	-94.015184
Mahaska__IA	22381	1478.528	6.565	1485.092	41.330797	-92.636366
Marion__IA	33309	1436.237	41.375	1477.612	41.331455	-93.093849
Marshall__IA	40648	1482.771	1.803	1484.574	42.041691	-92.981452
Mills__IA	15059	1132.956	8.307	1141.263	41.033703	-95.619101
Mitchcell__IA	10776	1215.049	1.118	1216.167	43.348564	-92.784466
Monona__IA	9243	1797.638	12.592	1810.23	42.049432	-95.956566
Monroe__IA	7970	1123.317	1.523	1124.84	41.028847	-92.869642
Montgomery__IA	10740	1098.406	2.41	1100.816	41.021735	-95.15779
Muscatine__IA	42745	1133.04	30.199	1163.239	41.483776	-91.118699
O_Brien__IA	14398	1484.154	0.447	1484.602	43.083746	-95.625624
Osceola__IA	6462	1032.587	1.835	1034.423	43.378542	-95.633788
Page__IA	15932	1385.494	1.359	1386.854	40.73909	-95.14429
Palo_Alto__IA	9421	1460.349	14.48	1474.829	43.075854	-94.667297
Plymouth__IA	24986	2234.882	2.177	2237.059	42.737585	-96.215864
Pocahontas__IA	7310	1495.047	3.667	1498.714	42.734033	-94.678279
Polk__IA	430640	1486.121	45.946	1532.067	41.684281	-93.56972
Pottawattamie__IA	93158	2461.214	22.926	2484.14	41.340184	-95.544905
Poweshiek__IA	18914	1514.968	2.939	1517.907	41.684526	-92.522882
Ringgold__IA	5131	1386.934	8.722	1395.655	40.735334	-94.244251
Sac__IA	10350	1489.273	8.597	1497.87	42.387526	-95.105224
Scott__IA	165224	1186.444	26.216	1212.66	41.641679	-90.62229
Shelby__IA	12167	1530.11	1.486	1531.597	41.679014	-95.308917
Sioux__IA	33704	1989.97	1.707	1991.677	43.082854	-96.177929
Story__IA	89542	1483.593	2.152	1485.745	42.037538	-93.466093
Tama__IA	17767	1867.411	2.769	1870.181	42.074848	-92.529412
Taylor__IA	6317	1377.619	7.134	1384.752	40.737949	-94.697108
Union__IA	12534	1097.236	5.576	1102.812	41.02855	-94.245091
Van_Buren__IA	7570	1255.598	14.84	1270.438	40.754117	-91.952943
Wapello__IA	35625	1118.443	10.846	1129.289	41.031263	-92.409482
Warren__IA	46225	1475.845	9.125	1484.97	41.336769	-93.564366
Washington__IA	21704	1473.276	5.4	1478.676	41.329401	-91.725052
Wayne__IA	6403	1360.875	4.441	1365.316	40.739983	-93.332613
Webster__IA	38013	1853.444	7.278	1860.721	42.434397	-94.179157
Winnebago__IA	10866	1037.262	3.182	1040.444	43.378124	-93.743488
Winneshiek__IA	21056	1786.75	0.699	1787.449	43.292989	-91.850788
Woodbury__IA	102172	2260.63	12.793	2273.423	42.39322	-96.053296
Worth__IA	7598	1036.315	4.709	1041.024	43.373491	-93.248533
Wright__IA	13229	1503.287	4.704	1507.991	42.733007	-93.734735
Allen__KS	13371	1295.779	13.007	1308.786	37.884229	-95.300945
Anderson__KS	8102	1501.276	10.587	1511.863	38.215114	-95.292046
Atchison__KS	16924	1116.73	6.858	1123.587	39.532544	-95.313398
Barber__KS	4861	2937.236	5.42	2942.656	37.222906	-98.685052
Barton__KS	27674	2319.075	13.557	2332.632	38.481239	-98.767837
Bourbon__KS	15173	1645.862	9.378	1655.239	37.8561	-94.850928
Brown__KS	9984	1478.552	3.196	1481.748	39.825931	-95.569905
Butler__KS	65880	3703.329	43.16	3746.49	37.773681	-96.838762
Chase__KS	2790	2002.217	12.088	2014.305	38.298553	-96.594064
Chautauqua__KS	3669	1654.693	15.244	1669.937	37.154259	-96.245396
Cherokee__KS	21603	1521.794	8.949	1530.742	37.169392	-94.845698
Cheyenne__KS	2726	2641.496	2.738	2644.234	39.789256	-101.727302
Clark__KS	2215	2524.286	6.605	2530.891	37.233831	-99.813869
Clay__KS	8535	1671.322	26.674	1697.996	39.344964	-97.168853
Cloud__KS	9533	1852.727	6.86	1859.586	39.487329	-97.64139
Coffey__KS	8601	1623.784	70.311	1694.095	38.23645	-95.729137
Comanche__KS	1891	2041.681	3.604	2045.286	37.189071	-99.254089
Cowley__KS	36311	2915.68	17.291	2932.971	37.234507	-96.837247
Crawford__KS	39134	1527.462	13.611	1541.073	37.505628	-94.853941
Decatur__KS	2961	2314.199	1.632	2315.831	39.783542	-100.459708
Dickinson__KS	19754	2193.907	12.635	2206.541	38.867735	-97.157943
Doniphan__KS	7945	1018.915	12.615	1031.53	39.788502	-95.147225
Douglas__KS	110826	1180.7	48.603	1229.303	38.896573	-95.290529
Edwards__KS	3037	1610.697	0.209	1610.906	37.883595	-99.304746
Elk__KS	2882	1668.638	16.061	1684.699	37.456026	-96.244642
Ellis__KS	28452	2330.762	1.197	2331.96	38.914596	-99.317329
Ellsworth__KS	6497	1854.035	19.27	1873.305	38.700845	-98.205355
Finney__KS	36776	3372.08	1.826	3373.905	38.049855	-100.739929
Ford__KS	33848	2844.508	2.097	2846.606	37.688365	-99.884734
Franklin__KS	25992	1480.84	13.936	1494.776	38.558019	-95.278962
Geary__KS	34362	996.157	51.455	1047.612	39.002155	-96.768038
Gove__KS	2695	2775.599	0.245	2775.844	38.917239	-100.48736
Graham__KS	2597	2327.161	0.599	2327.76	39.349445	-99.880952
Grant__KS	7829	1488.725	0.892	1489.617	37.547537	-101.299362
Gray__KS	6006	2250.356	1.113	2251.47	37.744513	-100.451716
Greeley__KS	1247	2016.177	-	2016.177	38.480408	-101.805984
Greenwood__KS	6689	2961.133	24.156	2985.288	37.878659	-96.242232
Hamilton__KS	2690	2580.943	2.905	2583.847	37.995244	-101.793689
Harper__KS	6034	2075.276	3.913	2079.19	37.188184	-98.06659
Harvey__KS	34684	1397.957	2.508	1400.465	38.050144	-97.436707
Haskell__KS	4256	1495.773	0.91	1496.683	37.55855	-100.876869
Hodgeman__KS	1916	2227.369	0.826	2228.196	38.087493	-99.898407
Jackson__KS	13462	1699.594	4.666	1704.261	39.410989	-95.794509
Jefferson__KS	19126	1379.36	62.427	1441.787	39.239644	-95.375314
Jewell__KS	3077	2356.322	11.86	2368.182	39.77701	-98.222584
Johnson__KS	544179	1226.034	16.891	1242.925	38.883907	-94.82233
Kearny__KS	3977	2254.697	1.134	2255.831	37.994461	-101.308136
Kingman__KS	7858	2236.099	8.536	2244.636	37.552951	-98.144529
Kiowa__KS	2553	1871.627	0.597	1872.224	37.561231	-99.286539
Labette__KS	21607	1671.305	20.261	1691.567	37.191468	-95.297473
Lane__KS	1750	1858.2	0.551	1858.751	38.481286	-100.466185
Leavenworth__KS	76227	1198.727	15.906	1214.632	39.189511	-95.038977
Lincoln__KS	3241	1863.227	2.748	1865.975	39.047276	-98.214265
Linn__KS	9656	1538.605	31.951	1570.556	38.216549	-94.844932
Logan__KS	2756	2779.042	0.275	2779.317	38.91327	-101.157407
Lyon__KS	33690	2194.948	20.572	2215.52	38.455498	-96.161589
McPherson__KS	29180	2326.52	6.03	2332.55	38.395812	-97.647489
Marion__KS	12660	2445.701	24.449	2470.15	38.359647	-97.102771
Marshall__KS	10117	2331.463	12.754	2344.217	39.782709	-96.521243
Meade__KS	4575	2533.235	3.258	2536.493	37.243886	-100.360094
Miami__KS	32787	1490.956	37.8	1528.755	38.566772	-94.832963
Mitchell__KS	6373	1817.633	44.98	1862.613	39.393026	-98.207362
Montgomery__KS	35471	1666.728	20.602	1687.33	37.189537	-95.742403
Morris__KS	5923	1800.764	19.711	1820.475	38.687696	-96.644905
Morton__KS	3233	1889.993	0.508	1890.501	37.18525	-101.809516
Nemaha__KS	10178	1858.126	5.208	1863.334	39.791043	-96.005381
Neosho__KS	16512	1480.106	16.374	1496.481	37.564283	-95.315683
Ness__KS	3107	2783.591	0.667	2784.258	38.480437	-99.908745
Norton__KS	5671	2274.357	8.195	2282.552	39.783867	-99.899235
Osage__KS	16295	1827.284	37.107	1864.391	38.649706	-95.727275
Osborne__KS	3858	2311.574	4.806	2316.38	39.348649	-98.767876
Ottawa__KS	6091	1866.689	1.561	1868.251	39.137963	-97.654803
Pawnee__KS	6973	1953.532	0.992	1954.524	38.182873	-99.232154
Phillips__KS	5642	2294.41	22.493	2316.904	39.784506	-99.34215
Pottawatomie__KS	21604	2178.236	54.103	2232.339	39.382187	-96.337113
Pratt__KS	9656	1903.757	1.754	1905.511	37.647594	-98.74012
Rawlins__KS	2519	2769.776	0.416	2770.191	39.786198	-101.076738
Reno__KS	64511	3251.332	43.417	3294.75	37.948185	-98.078346
Republic__KS	4980	1857.982	7.967	1865.949	39.82891	-97.650921
Rice__KS	10083	1880.945	4.47	1885.415	38.347178	-98.201415
Riley__KS	71115	1579.3	31.558	1610.859	39.291211	-96.727489
Rooks__KS	5181	2306.47	11.962	2318.432	39.346006	-99.324492
Rush__KS	3307	1858.998	0.545	1859.542	38.523592	-99.309183
Russell__KS	6970	2295.403	34.127	2329.529	38.916839	-98.765638
Saline__KS	55606	1865.374	2.81	1868.183	38.786327	-97.650153
Scott__KS	4936	1858.43	0.306	1858.736	38.481877	-100.90636
Sedgwick__KS	498365	2583.544	30.067	2613.611	37.683807	-97.459451
Seward__KS	22952	1656.291	2.563	1658.853	37.180585	-100.854741
Shawnee__KS	177934	1408.996	30.33	1439.326	39.041805	-95.755664
Sheridan__KS	2556	2320.518	0.647	2321.166	39.350543	-100.441206
Sherman__KS	6010	2735.199	0.548	2735.748	39.351352	-101.719859
Smith__KS	3853	2319.243	3.884	2323.128	39.78466	-98.78543
Stafford__KS	4437	2051.39	7.435	2058.825	38.03563	-98.719889
Stanton__KS	2235	1762.086	0.18	1762.266	37.565932	-101.789383
Stevens__KS	5724	1883.679	0.465	1884.144	37.202356	-101.315796
Sumner__KS	24132	3061.212	7.806	3069.019	37.236663	-97.493349
Thomas__KS	7900	2783.425	0.288	2783.714	39.357706	-101.083439
Trego__KS	3001	2303.737	26.282	2330.019	38.921302	-99.865423
Wabaunsee__KS	7053	2057.232	13.775	2071.007	38.955154	-96.201262
Wallace__KS	1485	2366.348	0.141	2366.489	38.926626	-101.771103
Washington__KS	5799	2317.406	10.14	2327.546	39.776714	-97.095611
Wichita__KS	2234	1861.082	0.062	1861.144	38.481922	-101.347434
Wilson__KS	9409	1477.377	12.057	1489.434	37.558515	-95.745175
Woodson__KS	3309	1289.347	19.252	1308.599	37.888484	-95.757553
Wyandotte__KS	157505	392.642	11.895	404.538	39.115384	-94.763087
Adair__KY	18656	1049.677	18.432	1068.109	37.105541	-85.281401
Allen__KY	19956	891.83	19.493	911.323	36.75077	-86.192458
Anderson__KY	21421	522.742	6.315	529.057	38.005396	-84.986417
Ballard__KY	8249	638.844	70.009	708.853	37.05112	-89.009178
Barren__KY	42173	1262.725	32.267	1294.992	36.963614	-85.92499
Bath__KY	11591	722.068	13.5	735.568	38.152249	-83.737641
Bell__KY	28691	929.807	5.481	935.288	36.72268	-83.681046
Boone__KY	118811	638.067	26.172	664.239	38.974595	-84.731444
Bourbon__KY	19985	750.37	4.851	755.22	38.202562	-84.20986
Boyd__KY	49542	414.046	5.589	419.635	38.360004	-82.681406
Boyle__KY	28432	466.635	6.458	473.093	37.6182	-84.873016
Bracken__KY	8488	532.533	8.637	541.17	38.678523	-84.100355
Breathitt__KY	13878	1275.344	7.392	1282.737	37.521178	-83.322401
Breckinridge__KY	20059	1468.969	47.782	1516.751	37.778109	-86.432829
Bullitt__KY	74319	769.288	8.394	777.682	37.969572	-85.703036
Butler__KY	12690	1103.562	13.948	1117.511	37.207013	-86.682471
Caldwell__KY	12984	893.005	8.703	901.707	37.148643	-87.87051
Calloway__KY	37191	997.201	66.498	1063.699	36.620978	-88.274086
Campbell__KY	90336	391.887	21.01	412.897	38.946981	-84.379583
Carlisle__KY	5104	490.632	24.723	515.355	36.857726	-88.975757
Carroll__KY	10811	332.993	22.651	355.644	38.668284	-85.124083
Carter__KY	27720	1060.59	6.801	1067.391	38.309555	-83.048821
Casey__KY	15955	1150.55	3.901	1154.451	37.321962	-84.92822
Christian__KY	73955	1858.324	16.936	1875.261	36.893388	-87.493554
Clark__KY	35613	653.877	6.974	660.851	37.970133	-84.144974
Clay__KY	21730	1215.345	4.763	1220.108	37.164466	-83.710763
Clinton__KY	10272	510.864	21.164	532.028	36.729124	-85.153499
Crittenden__KY	9315	932.271	28.979	961.25	37.358149	-88.10501
Cumberland__KY	6856	790.417	14.83	805.247	36.784227	-85.393499
Daviess__KY	96656	1187.111	47.211	1234.322	37.731671	-87.087139
Edmonson__KY	12161	784.464	13.262	797.726	37.227856	-86.217778
Elliott__KY	7852	606.874	2.611	609.484	38.116425	-83.097541
Estill__KY	14672	655.469	6.558	662.027	37.69246	-83.963927
Fayette__KY	295803	734.649	4.923	739.571	38.040157	-84.458443
Fleming__KY	14348	902.72	7.185	909.905	38.368431	-83.706152
Floyd__KY	39451	1018.758	6.114	1024.872	37.558283	-82.740337
Franklin__KY	49285	538.061	11.037	549.099	38.234919	-84.868786
Fulton__KY	6813	532.252	65.047	597.299	36.55262	-89.187723
Gallatin__KY	8589	262.195	9.023	271.218	38.760184	-84.862114
Garrard__KY	16912	595.897	10.019	605.916	37.630162	-84.545856
Grant__KY	24662	668.125	7.255	675.38	38.64921	-84.625946
Graves__KY	37121	1429.007	13.067	1442.074	36.723344	-88.649897
Grayson__KY	25746	1286.442	37.122	1323.563	37.458577	-86.344011
Green__KY	11258	740.825	7.136	747.961	37.269637	-85.561403
Greenup__KY	36910	891.983	26.036	918.02	38.563596	-82.933833
Hancock__KY	8565	486.017	29.096	515.114	37.843389	-86.792773
Hardin__KY	105543	1614.282	17.763	1632.045	37.695836	-85.963183
Harlan__KY	29278	1206.488	6.016	1212.504	36.859223	-83.221497
Harrison__KY	18846	793.479	9.059	802.538	38.443489	-84.332796
Hart__KY	18199	1067.297	14.929	1082.227	37.313856	-85.881995
Henderson__KY	46250	1130.968	76.691	1207.659	37.792542	-87.572577
Henry__KY	15416	741.45	12.553	754.003	38.451561	-85.120079
Hickman__KY	4902	627.488	27.882	655.37	36.675916	-88.97202
Hopkins__KY	46920	1403.761	32.168	1435.929	37.31107	-87.542196
Jackson__KY	13494	894.065	3.398	897.463	37.40332	-84.020686
Jefferson__KY	741096	985.274	44.719	1029.993	38.189533	-85.657624
Jessamine__KY	48586	445.777	6.176	451.954	37.873291	-84.58396
Johnson__KY	23356	678.456	5.651	684.107	37.84926	-82.830639
Kenton__KY	159720	415.045	10.611	425.656	38.930477	-84.533492
Knott__KY	16346	910.427	3.454	913.881	37.354703	-82.949138
Knox__KY	31883	1000.505	3.758	1004.263	36.887476	-83.85563
Larue__KY	14193	677.332	5.463	682.794	37.545518	-85.697209
Laurel__KY	58849	1123.933	25.232	1149.164	37.113268	-84.119395
Lawrence__KY	15860	1076.387	11.585	1087.971	38.074459	-82.738305
Lee__KY	7887	540.938	6.215	547.153	37.605383	-83.718497
Leslie__KY	11310	1038.182	9.331	1047.513	37.087846	-83.388616
Letcher__KY	24519	875.193	2.899	878.091	37.118503	-82.861175
Lewis__KY	13870	1250.54	32.493	1283.033	38.532051	-83.373303
Lincoln__KY	24742	865.301	6.426	871.727	37.457257	-84.658074
Livingston__KY	9519	810.996	75.645	886.64	37.209517	-88.363426
Logan__KY	26835	1430.014	12.69	1442.703	36.859829	-86.881436
Lyon__KY	8314	553.843	110.563	664.406	37.023976	-88.083391
McCracken__KY	65565	644.243	50.315	694.558	37.053688	-88.712378
McCreary__KY	18306	1105.415	10.733	1116.147	36.731136	-84.491052
McLean__KY	9531	653.905	9.736	663.641	37.530575	-87.262931
Madison__KY	82916	1132.583	15.447	1148.03	37.723528	-84.277008
Magoffin__KY	13333	798.866	1.848	800.714	37.698954	-83.069716
Marion__KY	19820	888.387	9.971	898.359	37.552247	-85.269242
Marshall__KY	31448	780.241	100.797	881.038	36.882017	-88.332752
Martin__KY	12929	594.674	2.574	597.248	37.796774	-82.506623
Mason__KY	17490	621.927	16.278	638.206	38.594068	-83.828052
Meade__KY	28602	791.043	49.415	840.458	37.967476	-86.200863
Menifee__KY	6306	527.282	6.085	533.367	37.950715	-83.597345
Mercer__KY	21331	644.382	11.692	656.074	37.812085	-84.879695
Metcalfe__KY	10099	750.178	4	754.178	36.990394	-85.629554
Monroe__KY	10963	853.073	6.949	860.023	36.714077	-85.713508
Montgomery__KY	26499	511.175	3.862	515.037	38.038138	-83.912338
Morgan__KY	13923	987.114	6.892	994.006	37.92294	-83.258944
Muhlenberg__KY	31499	1209.729	31.912	1241.641	37.213816	-87.134092
Nelson__KY	43437	1081.352	17	1098.352	37.803188	-85.465955
Nicholas__KY	7135	505.49	4.307	509.796	38.337132	-84.025554
Ohio__KY	23842	1521.032	23.188	1544.221	37.477859	-86.844871
Oldham__KY	60316	484.893	23.87	508.763	38.400046	-85.456059
Owen__KY	10841	909.352	8.143	917.495	38.499603	-84.841509
Owsley__KY	4755	511.283	2.286	513.569	37.423452	-83.691566
Pendleton__KY	14877	717.833	12.331	730.164	38.690765	-84.354041
Perry__KY	28712	879.741	7.613	887.354	37.241282	-83.217772
Pike__KY	65024	2037.888	4.757	2042.644	37.482067	-82.402869
Powell__KY	12613	463.555	2.958	466.513	37.810379	-83.826985
Pulaski__KY	63063	1705.268	48.553	1753.821	37.108312	-84.579986
Robertson__KY	2282	258.768	0.485	259.253	38.513826	-84.063757
Rockcastle__KY	17056	819.847	4.018	823.865	37.36122	-84.314419
Rowan__KY	23333	724.666	16.759	741.426	38.205894	-83.425969
Russell__KY	17565	656.969	75.675	732.644	36.989127	-85.058976
Scott__KY	47173	729.77	9.498	739.268	38.289882	-84.579376
Shelby__KY	42074	983.254	15.631	998.885	38.239426	-85.22836
Simpson__KY	17327	606.585	5.857	612.443	36.740863	-86.581464
Spencer__KY	17061	483.492	12.898	496.391	38.026976	-85.321525
Taylor__KY	24512	689.784	27.17	716.954	37.365106	-85.326698
Todd__KY	12460	969.941	6.631	976.572	36.840338	-87.183642
Trigg__KY	14339	1143.307	103.331	1246.638	36.807681	-87.858652
Trimble__KY	8809	392.766	11.834	404.6	38.618193	-85.355171
Union__KY	15007	887.974	53.168	941.142	37.658029	-87.95165
Warren__KY	113792	1402.738	15.447	1418.185	36.995634	-86.423579
Washington__KY	11717	769.916	10.192	780.108	37.754209	-85.175416
Wayne__KY	20813	1186.656	67.316	1253.972	36.802011	-84.83044
Webster__KY	13621	859.728	9.615	869.343	37.520021	-87.685095
Whitley__KY	35637	1133.974	18.878	1152.851	36.758021	-84.14455
Wolfe__KY	7355	575.419	1.505	576.925	37.743774	-83.495068
Woodford__KY	24939	488.948	8.423	497.371	38.042789	-84.748147
Acadia__LA	61773	1696.751	6.049	1702.799	30.291497	-92.411037
Allen__LA	25764	1973.175	10.637	1983.811	30.652744	-92.819605
Ascension__LA	107215	751.047	33.165	784.212	30.202946	-90.910023
Assumption__LA	23421	877.121	67.009	944.13	29.899884	-91.050528
Avoyelles__LA	42073	2155.994	86.273	2242.268	31.085094	-91.993798
Beauregard__LA	35654	2997.502	21.999	3019.501	30.645018	-93.340253
Bienville__LA	14353	2101.175	27.978	2129.153	32.344268	-93.061513
Bossier__LA	116979	2175.738	70.351	2246.089	32.696202	-93.617977
Caddo__LA	254969	2275.405	150.957	2426.362	32.577195	-93.882423
Calcasieu__LA	192768	2754.864	79.292	2834.157	30.229559	-93.358015
Caldwell__LA	10132	1371.204	29.277	1400.481	32.101244	-92.11418
Cameron__LA	6839	3327.842	1688.108	5015.95	29.871989	-93.165437
Catahoula__LA	10407	1833.789	81.301	1915.091	31.666517	-91.846703
Claiborne__LA	17195	1955.126	32.473	1987.599	32.827585	-92.991125
Concordia__LA	20822	1805.014	130.488	1935.502	31.469806	-91.626314
De_Soto__LA	26656	2267.739	49.234	2316.973	32.059248	-93.740797
East_Baton_Rouge__LA	440171	1179.412	38.491	1217.903	30.544002	-91.093174
East_Carroll__LA	7759	1089.619	56.274	1145.893	32.73017	-91.234141
East_Feliciana__LA	20267	1174.326	6.133	1180.459	30.839784	-91.043434
Evangeline__LA	33984	1715.55	44.668	1760.218	30.720693	-92.404086
Franklin__LA	20767	1617.668	28.108	1645.776	32.138279	-91.672101
Grant__LA	22309	1665.429	56.015	1721.444	31.597787	-92.561716
Iberia__LA	73240	1486.94	1182.115	2669.056	29.606013	-91.842706
Iberville__LA	33387	1602.236	88.658	1690.895	30.288394	-91.36315
Jackson__LA	16274	1474.178	28.733	1502.911	32.30448	-92.556672
Jefferson__LA	432552	765.683	957.755	1723.437	29.5033	-90.036231
Jefferson_Davis__LA	31594	1686.932	18.718	1705.65	30.269529	-92.816221
Lafayette__LA	221578	695.98	1.267	697.247	30.206507	-92.06417
Lafourche__LA	96318	2766.662	1051.775	3818.438	29.491993	-90.394849
La_Salle__LA	14890	1617.923	97.668	1715.591	31.680836	-92.161809
Lincoln__LA	46735	1221.806	1.898	1223.704	32.601148	-92.662082
Livingston__LA	128026	1678.749	141.614	1820.363	30.440419	-90.727474
Madison__LA	12093	1617.283	68.539	1685.822	32.365824	-91.240729
Morehouse__LA	27979	2058.87	28.879	2087.749	32.820008	-91.800399
Natchitoches__LA	39566	3243.312	121.064	3364.376	31.734982	-93.086106
Orleans__LA	343829	438.803	468.24	907.044	30.068636	-89.939007
Ouachita__LA	153720	1580.945	55.282	1636.226	32.477495	-92.154798
Plaquemines__LA	23042	2019.961	4629.053	6649.014	29.402337	-89.298489
Pointe_Coupee__LA	22802	1443.52	86.418	1529.938	30.708319	-91.604621
Rapides__LA	131613	3413.506	113.17	3526.676	31.193204	-92.535953
Red_River__LA	9091	1007.739	34.328	1042.066	32.101213	-93.34905
Richland__LA	20725	1447.915	14.174	1462.089	32.418121	-91.758375
Sabine__LA	24233	2244.637	375.446	2620.082	31.560209	-93.559228
St_Bernard__LA	35897	977.764	4611.616	5589.381	29.91811	-89.263494
St_Charles__LA	52780	722.821	340.703	1063.524	29.913833	-90.359314
St_Helena__LA	11203	1057.758	2.811	1060.569	30.821423	-90.70935
St_James__LA	22102	625.578	42.532	668.11	30.02482	-90.793956
St_John_the_Baptist__LA	45924	551.852	348.525	900.376	30.117471	-90.504677
